,AAPL,NVDA,MSFT,AMZN,META,GOOGL,GOOG,AVGO,TSLA,LLY,JPM,UNH,XOM,V,MA,PG,COST,HD,JNJ,ABBV,WMT,NFLX,CRM,BAC,ORCL,MRK,KO,CVX,AMD,PEP,LIN,CSCO,WFC,ACN,ADBE,TMO,MCD,PM,ABT,NOW,GE,IBM,TXN,QCOM,CAT,ISRG,VZ,INTU,DIS
2023-11-01 00:00:00-04:00,173.0843048095703,42.31220245361328,343.49176025390625,137.0,310.91387939453125,126.13765716552734,127.25747680664062,83.99967193603516,205.66000366210938,550.7593994140625,135.6995849609375,523.6262817382812,102.06147766113281,236.7163848876953,375.6470947265625,145.9758758544922,540.9849853515625,279.3746032714844,144.1293182373047,137.44566345214844,54.22467803955078,420.19000244140625,203.00877380371094,25.68308448791504,104.472412109375,100.19325256347656,54.74678039550781,137.99490356445312,108.04000091552734,159.89520263671875,382.4134216308594,50.54474639892578,38.46942901611328,295.8835754394531,544.5,439.9429016113281,255.77780151367188,84.5330810546875,93.15106201171875,593.47998046875,85.11859893798828,139.84707641601562,140.12037658691406,108.62354278564453,228.17044067382812,270.4599914550781,33.1884651184082,486.26318359375,80.43555450439453
2023-11-02 00:00:00-04:00,176.66600036621094,43.49283981323242,345.7249755859375,138.07000732421875,309.9367980957031,127.17509460449219,128.26499938964844,85.80780792236328,218.50999450683594,576.4169311523438,138.12173461914062,528.0884399414062,105.41393280029297,241.34991455078125,380.4890441894531,147.76141357421875,541.1698608398438,287.0746154785156,145.6317901611328,138.20777893066406,54.438453674316406,424.7099914550781,207.19021606445312,26.869956970214844,105.5788803100586,100.19325256347656,55.377281188964844,142.5762176513672,107.83000183105469,161.7960662841797,384.94244384765625,51.08708953857422,39.69425964355469,303.2452087402344,558.7100219726562,446.3858642578125,260.54241943359375,86.36601257324219,94.08247375488281,599.4299926757812,85.53922271728516,141.3955841064453,144.1721954345703,114.96131134033203,235.34535217285156,277.8900146484375,33.6572265625,497.37677001953125,82.63818359375
2023-11-03 00:00:00-04:00,175.7506561279297,44.991390228271484,350.17156982421875,138.60000610351562,313.6556396484375,128.7811279296875,130.0506134033203,86.92853546142578,219.9600067138672,564.0203247070312,139.66488647460938,522.9368896484375,104.12898254394531,241.69717407226562,383.8297119140625,146.42471313476562,545.96875,288.12725830078125,146.69805908203125,136.43267822265625,54.15560531616211,432.3599853515625,206.5530242919922,27.648229598999023,106.74462890625,100.70954895019531,55.03778076171875,141.47401428222656,112.25,161.75726318359375,387.7579650878906,51.33889389038086,40.78190612792969,308.5302429199219,563.6599731445312,453.536865234375,261.5382995605469,86.91683197021484,93.96482849121094,606.760009765625,86.44400024414062,142.25160217285156,147.0299835205078,117.07715606689453,236.94961547851562,278.5199890136719,33.76972961425781,495.5476989746094,84.40425109863281
2023-11-06 00:00:00-05:00,178.31752014160156,45.73716354370117,353.8738098144531,139.74000549316406,314.85198974609375,129.9282684326172,131.1279754638672,86.74634552001953,219.27000427246094,591.217529296875,140.71971130371094,525.4584350585938,102.28368377685547,241.5880584716797,383.93914794921875,147.2735595703125,554.6511840820312,287.1136169433594,147.0469970703125,136.22042846679688,54.227962493896484,434.739990234375,206.5032501220703,27.5606746673584,107.79181671142578,101.64476013183594,55.26087951660156,140.88937377929688,111.75,161.66998291015625,388.2419738769531,51.610069274902344,40.50754928588867,308.1365966796875,565.4500122070312,453.8161315917969,262.5537414550781,86.39450073242188,93.14126586914062,609.25,88.71381378173828,143.28076171875,144.358154296875,117.47879028320312,234.51858520507812,277.260009765625,33.41346740722656,497.52581787109375,83.36246490478516
2023-11-07 00:00:00-05:00,180.8943634033203,45.941104888916016,357.8440246582031,142.7100067138672,317.86297607421875,130.64649963378906,132.0756378173828,88.41956329345703,222.17999267578125,595.9259033203125,140.65135192871094,529.7628784179688,100.67992401123047,242.85804748535156,386.6335144042969,146.9320526123047,556.0626831054688,287.3085632324219,146.2715301513672,137.14659118652344,54.4812126159668,434.6099853515625,210.90371704101562,27.39529037475586,107.67326354980469,101.31355285644531,55.464576721191406,138.40704345703125,113.44999694824219,162.13551330566406,384.5867919921875,51.455116271972656,40.213584899902344,310.2033386230469,585.2000122070312,458.02496337890625,262.31939697265625,86.68890380859375,92.94518280029297,613.9099731445312,88.72969055175781,143.14610290527344,143.467529296875,118.25263977050781,231.21163940429688,278.69000244140625,33.69472885131836,510.85614013671875,83.92800903320312
2023-11-08 00:00:00-05:00,181.9589080810547,46.559913635253906,360.494140625,142.0800018310547,318.8200378417969,131.51434326171875,132.93353271484375,89.73036193847656,222.11000061035156,614.997802734375,141.3447723388672,528.6793823242188,99.44328308105469,242.51998901367188,387.4587707519531,146.3661346435547,552.2762451171875,288.429443359375,145.73843383789062,137.0211639404297,54.03720474243164,436.6499938964844,210.5353546142578,27.13262367248535,110.9729232788086,101.70321655273438,55.377281188964844,136.48057556152344,113.58999633789062,162.3391571044922,387.510986328125,51.32920837402344,40.1547966003418,312.791748046875,585.3099975585938,453.1080017089844,261.1672668457031,85.66322326660156,92.88634490966797,625.3300170898438,90.3566665649414,142.3766326904297,142.12672424316406,117.60611724853516,231.11322021484375,277.92999267578125,33.53535079956055,519.2757568359375,83.83871459960938
2023-11-09 00:00:00-05:00,181.48135375976562,46.93579864501953,358.0028076171875,140.60000610351562,319.5877380371094,129.91830444335938,131.3673858642578,89.7549819946289,209.97999572753906,587.3733520507812,140.9248046875,530.915283203125,99.47225952148438,240.26290893554688,385.7287292480469,146.69790649414062,548.275634765625,280.5832214355469,142.89828491210938,133.171875,53.91222381591797,435.1499938964844,209.08180236816406,26.782400131225586,110.82472229003906,99.73539733886719,54.96017837524414,136.03970336914062,113.48999786376953,161.1462860107422,386.2464599609375,50.36073303222656,39.58647537231445,309.2486877441406,577.739990234375,443.09454345703125,260.6009826660156,85.2833480834961,91.71963500976562,619.760009765625,89.75349426269531,142.61981201171875,140.21824645996094,117.64530181884766,230.45379638671875,272.3999938964844,33.39472198486328,511.482421875,89.63300323486328
2023-11-10 00:00:00-05:00,185.6953582763672,48.320377349853516,366.9159240722656,143.55999755859375,327.7830810546875,132.2624969482422,133.73158264160156,94.29896545410156,214.64999389648438,593.7207641601562,143.014892578125,533.0922241210938,100.23550415039062,243.8523406982422,392.11181640625,147.73216247558594,561.7568969726562,284.20904541015625,142.73350524902344,133.70248413085938,54.6588134765625,447.239990234375,212.68582153320312,26.928325653076172,111.7039794921875,98.7709732055664,55.01838302612305,137.0077362060547,118.58999633789062,161.8833465576172,394.9991760253906,50.93213653564453,40.06660842895508,314.6321716308594,597.219970703125,447.24359130859375,261.4601745605469,85.18836975097656,92.13140869140625,634.760009765625,91.483642578125,144.954345703125,144.0547637939453,121.67129516601562,235.89649963378906,277.489990234375,33.47909927368164,525.7471313476562,87.57920837402344
2023-11-13 00:00:00-05:00,184.1013946533203,48.605289459228516,363.94818115234375,142.58999633789062,328.2018127441406,131.7637176513672,133.31260681152344,93.25603485107422,223.7100067138672,608.6206665039062,142.3800506591797,534.4317626953125,101.28857421875,243.27565002441406,392.08203125,148.7566375732422,562.8373413085938,280.7781677246094,143.1018524169922,133.750732421875,55.14886474609375,444.6199951171875,214.32852172851562,26.947782516479492,112.77093505859375,99.82307434082031,55.22208023071289,138.0140838623047,116.79000091552734,162.7077178955078,394.9102783203125,50.5834846496582,39.94902420043945,310.6363830566406,590.3400268554688,443.9722595214844,262.8368835449219,85.4732894897461,93.91580200195312,638.4099731445312,91.68205261230469,144.0594482421875,142.7628631591797,121.31866455078125,237.8551025390625,282.4800109863281,33.58222198486328,529.017578125,88.74005126953125
2023-11-14 00:00:00-05:00,186.73141479492188,49.64098358154297,367.51141357421875,145.8000030517578,335.30047607421875,133.28994750976562,135.0982208251953,95.81952667236328,237.41000366210938,607.8643188476562,144.97801208496094,532.353515625,101.6785659790039,245.53271484375,395.3630065917969,148.42489624023438,575.07275390625,295.94427490234375,143.13092041015625,133.19117736816406,55.13899612426758,448.6499938964844,220.2024383544922,28.42650604248047,114.69737243652344,99.53081512451172,55.38697814941406,139.02044677734375,119.87999725341797,163.0374298095703,398.87176513671875,51.49385070800781,41.23265075683594,315.41949462890625,604.3300170898438,458.0448913574219,265.07269287109375,85.85316467285156,95.1805648803711,654.1699829101562,93.05506896972656,146.30642700195312,146.7363739013672,124.75691986083984,243.9473876953125,291.6199951171875,33.63847732543945,552.2188720703125,90.35729217529297
